ItemID,商品名,variationID,種別
817290,北大クラークワインセット,990772,
820321,北大クラークワイン・白,993863,
1053871,クラーク缶入りバター飴,1292447,
1117145,北海道大学&times;LUPICIA　北海道大学オリジナルティー,1380242,北海道大学オリジナルフレーバードティー50g（赤）
1117145,北海道大学&times;LUPICIA　北海道大学オリジナルティー,1380243,北海道大学オリジナルティ―50g（緑）
1117145,北海道大学&times;LUPICIA　北海道大学オリジナルティー,1391575,ギフトセット
1212820,北大ロゴTシャツ 紺,1519016,M
1212820,北大ロゴTシャツ 紺,1519025,L
1212820,北大ロゴTシャツ 紺,1519026,XL
1212821,北大ロゴTシャツ 白,1519017,M
1212821,北大ロゴTシャツ 白,1519027,L
1212821,北大ロゴTシャツ 白,1519028,XL
1212822,北大ロゴTシャツ グレー,1519018,M
1212822,北大ロゴTシャツ グレー,1519029,L
1212822,北大ロゴTシャツ グレー,1519030,XL
1266013,北大スウェットパンツ グレー,1592244,
1266017,北大スウェットパンツ 紺,1592248,
1288000,クラーク博士の恋人 ラングドシャクッキー,1624756,
1288011,北海道大学&times;LUPICIA　北海道大学オリジナルティー　ティーバッグタイプ,1624771,
1297531,北大リンガーカレッジTシャツ,1639688,M
1297531,北大リンガーカレッジTシャツ,1777921,L
1297531,北大リンガーカレッジTシャツ,1777922,XL
1403735,北大ドライTシャツ アイスグレー,1777955,M
1403735,北大ドライTシャツ アイスグレー,1777956,L
1403735,北大ドライTシャツ アイスグレー,1777957,XL
1403736,北大ドライTシャツ OD,1777962,M
1403736,北大ドライTシャツ OD,1777963,L
1403736,北大ドライTシャツ OD,1777964,XL
1404010,北大ドライTシャツ 紺,1778311,M
1404010,北大ドライTシャツ 紺,1778312,L
1404010,北大ドライTシャツ 紺,1778313,XL
1440653,革製名刺ケース 緑,1845982,
1440654,革製キーケース 緑,1845983,
1440655,革製ペンケース 緑,1845984,
1483603,サラサグランド,1903814,マットブラック
1483603,サラサグランド,1903815,グリーンブラック
1483603,サラサグランド,1903816,ブルーグレー
1483603,サラサグランド,1903817,カシスブラック
1539782,ハルニレの箸ギフトセット,1997819,
1745354,木製名刺入れ,2414772,
1775448,北大の実り　北大ラズベリークランチチョコ,2471519,
1775483,純米吟醸「北の大志」,2471565,
1824362,北大ジンパ 成吉思汗たれ,2553729,
1838946,ポプラの黒板消しストラップ 柄物 NO-1,2579030,
1862659,レックスグリップ　シャープペン,2610471,黒
1862659,レックスグリップ　シャープペン,2610472,緑
1862659,レックスグリップ　シャープペン,2610473,ソフトブルー
1862659,レックスグリップ　シャープペン,2610474,ピンク
1877174,北大クラークワイン・赤（メルロー）,2632474,
1908002,150th　ウッドキーホルダー（各種）,2681077,丸型
1908002,150th　ウッドキーホルダー（各種）,2681079,四角型
1908005,150th　サーモス　ケータイマグ,2681081,
1908009,150th　トートバッグ（各色）,2681085,ナチュラル
1908009,150th　トートバッグ（各色）,2681086,ブラック
1908010,150th　ドライTシャツ,2681087,M
1908010,150th　ドライTシャツ,2681089,L
1908010,150th　ドライTシャツ,2681090,XL
1908012,150th　ブレンボールペン（各色）,2681091,黒
1908012,150th　ブレンボールペン（各色）,2681092,白
1908013,おしょろ丸カレー,2681093,
1911526,150th　刺繍Ｔシャツ,2685322,M
1911526,150th　刺繍Ｔシャツ,2685323,L
1911526,150th　刺繍Ｔシャツ,2685324,XL
1911530,150th　マグカップ（各色）,2685328,ライトグリーン
1911530,150th　マグカップ（各色）,2685329,グリーン
1915540,北海道大学　純米吟醸　北の閃き　箱付き,2691141,
1923883,クリアファイル（北大正門＆はぴだんぶい）,2703958,
1923885,クリアファイル（ポプラ並木＆マイメロディ・クロミ）,2703960,
1923886,クリアファイル（クラーク像＆ハローキティ）,2703961,
